Year and Quarter,Topic,Topic Subgroup,Indicator,Race Ethnicity Category,Rate,Unit,Significant
2022 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2022 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2022 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.30,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2022 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,All races and origins,13.70,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,Hispanic,21.00,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,20.80,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic White,9.20,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,All races and origins,60.90,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,Hispanic,83.00,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,77.30,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic White,51.00,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,All races and origins,93.40,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,Hispanic,111.80,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,92.00,"per 1,000 population",
2022 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic White,90.90,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,All races and origins,97.70,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,Hispanic,101.40,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,80.30,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic White,100.90,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,All races and origins,54.80,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,Hispanic,57.70,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,49.60,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic White,53.10,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,All races and origins,12.40,"per 1,000 population",*
2022 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,Hispanic,15.00,"per 1,000 population",*
