,state_name,vaginal_birth_with_insurance,vaginal_birth_without_insurance,cesarean_with_insurance,cesarean_without_insurance
0,Alabama,5230.46,9516.86,8221.42,13589.75
1,Alaska,11609.95,20243.38,16707.29,28617.34
2,Arizona,8034.32,14812.45,10699.23,18023.04
3,Arkansas,5724.24,10172.09,8616.81,13970.83
4,California,7755.49,13974.77,11390.88,19184.14
5,Colorado,7435.49,13593.07,10356.17,17713.57
6,Connecticut,8071.26,15000.57,10936.89,19692.76
7,Delaware,6496.76,12104.65,10280.3,17617.02
8,Florida,7745.0,14757.28,11917.39,20805.89
9,Georgia,7264.89,13410.7,11162.8,19328.71
10,Hawaii,6112.4,10552.42,8968.17,14445.19
11,Idaho,6550.4,11242.58,9485.11,15102.93
12,Illinois,8329.52,14725.11,11999.74,19631.75
13,Indiana,6805.89,11571.69,10749.93,16951.98
14,Iowa,6405.78,10938.84,9708.81,15135.67
15,Kansas,6368.52,10862.29,10287.78,16269.51
16,Kentucky,6111.73,11242.27,9055.16,15150.94
17,Louisiana,6008.24,10970.87,8542.98,13776.54
18,Maine,5947.02,11047.39,9162.19,15906.99
19,Maryland,6471.87,12596.52,9610.39,16425.8
20,Massachusetts,7741.64,14549.03,11012.54,19879.6
21,Michigan,6545.41,11211.17,9695.69,15107.17
22,Minnesota,6994.03,11721.86,10453.2,15646.02
23,Mississippi,6545.41,11211.17,9695.69,15107.17
24,Missouri,6327.8,10871.98,9830.36,15513.47
25,Montana,5962.3,10244.88,8484.98,13344.77
26,Nebraska,5775.12,9655.74,8756.02,13143.4
27,Nevada,7700.71,13761.86,10912.63,18266.84
28,New Hampshire,6648.16,12692.15,9569.52,16837.87
29,New Jersey,8963.92,17504.25,11662.16,21294.82
30,New Mexico,5946.97,10830.34,9096.24,14921.5
31,New York,8462.84,16057.74,12114.11,22059.22
32,North Carolina,6750.16,11991.33,10102.62,16839.97
33,North Dakota,7974.09,13277.45,11408.56,17647.14
34,Ohio,6138.46,10629.46,9100.74,14212.56
35,Oklahoma,6083.51,11266.83,10553.98,18121.42
36,Oregon,7351.16,12622.35,10972.5,17948.33
37,Pennsylvania,6458.71,12223.65,10349.39,18753.63
38,Rhode Island,5472.47,10385.63,8183.02,14088.87
39,South Carolina,6697.16,12277.26,10036.85,16707.3
40,South Dakota,6835.96,11457.59,10167.63,15994.09
41,Tennessee,6817.41,12587.19,10181.71,17157.99
42,Texas,7699.2,14641.11,11267.77,19551.97
43,Utah,5951.76,10199.52,8952.52,14252.8
44,Vermont,6219.9,12138.26,9734.18,17428.48
45,Virginia,6517.02,12342.55,10593.92,18261.83
46,Washington,7043.42,12210.33,10725.39,17680.54
47,West Virginia,6163.94,11108.51,9376.43,15553.63
48,Wisconsin,10171.19,17888.14,14239.59,23746.69
49,Wyoming,7724.0,13143.39,11331.72,18476.31
